comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
13	9972	15	9972
13	5197	22	5197
11	269	16	269
13	4662	12	4662
14	2965	20	2965
12	3203	20	3203
13	6569	21	6569
14	2798	18	2798
13	2094	13	2094
13	5966	21	5966
9	817	14	817
14	7099	13	7099
14	5720	13	5720
14	8291	16	8291
9	152	9	152
11	691	15	691
13	7654	18	7654
13	7091	22	7091
13	3909	16	3909
12	8936	18	8936
13	8526	17	8526
13	8153	21	8153
13	8322	16	8322
14	7044	15	7044
13	3051	15	3051
11	3638	16	3638
13	5301	20	5301
12	7592	14	7592
11	5916	13	5916
11	1382	13	1382
13	9559	17	9559
13	5887	17	5887
12	6578	14	6578
14	9828	23	9828
13	6901	17	6901
10	5894	24	5894
10	3030	23	3030
9	3469	17	3469
14	8691	19	8691
10	1476	17	1476
14	9435	18	9435
13	5860	14	5860
14	8574	15	8574
11	1506	14	1506
12	4150	16	4150
13	5077	17	5077
14	8548	20	8548
14	8156	25	8156
11	2167	12	2167
13	8809	18	8809
11	692	10	692
13	6961	19	6961
10	5413	17	5413
13	7736	22	7736
5	12	4	12
14	9050	18	9050
13	3036	14	3036
13	3955	13	3955
12	4965	13	4965
13	769	10	769
12	3513	18	3513
12	7204	15	7204
13	7346	19	7346
12	3340	13	3340
9	456	16	456
13	9592	14	9592
13	2722	20	2722
11	3924	19	3924
14	4634	19	4634
12	549	16	549
14	9710	18	9710
4	493	15	493
13	5474	24	5474
12	7568	22	7568
11	995	14	995
11	550	11	550
13	6115	19	6115
14	9150	18	9150
14	9069	25	9069
13	4923	15	4923
13	6240	14	6240
15	9760	16	9760
15	8236	21	8236
14	8004	15	8004
14	3847	18	3847
13	8247	17	8247
11	3406	14	3406
12	3234	16	3234
13	2201	14	2201
12	4722	17	4722
11	4002	14	4002
10	2065	15	2065
12	1925	17	1925
14	7700	14	7700
10	1757	14	1757
13	8732	18	8732
13	7291	13	7291
11	4478	26	4478
14	9008	20	9008
11	8276	14	8276
12	1378	19	1378
12	8717	17	8717
13	8769	13	8769
13	6851	20	6851
14	2636	19	2636
14	9763	23	9763
11	3752	19	3752
14	8751	25	8751
12	8912	18	8912
11	2820	16	2820
7	25	5	25
13	5151	17	5151
14	2580	16	2580
14	8260	16	8260
14	9507	17	9507
13	2778	16	2778
11	2858	17	2858
13	2912	12	2912
14	6012	15	6012
12	1410	17	1410
13	7633	20	7633
14	6365	23	6365
14	3475	19	3475
15	5910	18	5910
12	4064	20	4064
10	5231	15	5231
11	4641	15	4641
14	7706	13	7706
13	6060	19	6060
14	3648	17	3648
13	5982	17	5982
15	7437	18	7437
13	4750	21	4750
11	639	12	639
10	1352	15	1352
10	864	22	864
13	4390	16	4390
14	6454	19	6454
13	9775	16	9775
13	7210	15	7210
14	2831	17	2831
13	1277	17	1277
13	6141	15	6141
13	1090	12	1090
14	783	15	783
12	5270	10	5270
14	3948	22	3948
12	46	7	46
14	1281	17	1281
13	5357	13	5357
13	4031	22	4031
13	7646	17	7646
12	5183	16	5183
15	9940	14	9940
13	8061	26	8061
9	413	17	413
9	932	18	932
13	2119	15	2119
14	6472	14	6472
12	8100	23	8100
9	260	12	260
12	6000	14	6000
13	9201	13	9201
13	898	18	898
12	3703	22	3703
10	64	7	64
13	5288	13	5288
8	157	8	157
15	9838	14	9838
11	8849	20	8849
13	2987	22	2987
14	7466	17	7466
10	1341	16	1341
11	428	14	428
12	4601	16	4601
13	6610	18	6610
15	4375	27	4375
11	4646	17	4646
11	4243	13	4243
13	6084	16	6084
13	8676	20	8676
14	8240	17	8240
13	1266	12	1266
12	4967	11	4967
13	6300	15	6300
11	1679	17	1679
13	2251	23	2251
14	8418	22	8418
10	4502	12	4502
13	3182	19	3182
13	2869	14	2869
12	4762	21	4762
12	9181	26	9181
15	2069	16	2069
12	5659	18	5659
9	2883	20	2883
14	2132	12	2132
13	7298	23	7298
14	9391	28	9391
13	8321	18	8321
10	2498	16	2498
14	8729	18	8729
12	2139	15	2139
13	3838	19	3838
14	9157	19	9157
12	6739	16	6739
14	6800	21	6800
14	9883	14	9883
11	1384	14	1384
14	1042	15	1042
14	6412	22	6412
11	5633	20	5633
14	7232	17	7232
12	8284	19	8284
14	5262	17	5262
15	9980	20	9980
13	3054	16	3054
13	3161	24	3161
11	5922	22	5922
10	876	18	876
14	8693	24	8693
14	4343	13	4343
11	2887	16	2887
12	7928	15	7928
13	6474	16	6474
11	6536	17	6536
13	7318	17	7318
10	1147	16	1147
13	9034	24	9034
13	6047	13	6047
14	3285	13	3285
13	9223	13	9223
11	1555	12	1555
7	23	7	23
11	2374	13	2374
13	1437	16	1437
14	7758	16	7758
14	9767	17	9767
13	7403	21	7403
10	521	15	521
14	5399	16	5399
13	986	11	986
11	1899	16	1899
12	3683	14	3683
14	2599	14	2599
12	1878	17	1878
13	6736	11	6736
13	8713	22	8713
11	1391	20	1391
14	9009	13	9009
11	5941	17	5941
11	6435	11	6435
13	3351	11	3351
13	5179	15	5179
14	4362	17	4362
12	6177	17	6177
12	1714	16	1714
14	8032	16	8032
14	7323	23	7323
7	430	13	430
13	6959	20	6959
13	2674	15	2674
13	1984	14	1984
14	3333	16	3333
13	5047	16	5047
9	3420	14	3420
11	7442	13	7442
12	1166	12	1166
12	7174	15	7174
13	7963	17	7963
14	6564	16	6564
12	8159	9	8159
13	6213	23	6213
12	246	8	246
14	7109	14	7109
10	4442	14	4442
13	5822	18	5822
14	5832	19	5832
12	2342	16	2342
12	8114	23	8114
13	2267	15	2267
14	5692	17	5692
13	3292	14	3292
12	2980	16	2980
