comparacoesAVL	tamanhoAVL	comparacoesABB	tamanhoABB
13	36625	18	36625
17	28289	21	28289
15	34318	18	34318
16	41874	33	41874
16	41014	31	41014
16	27501	21	27501
16	31697	16	31697
15	43099	25	43099
14	46515	22	46515
14	19590	22	19590
16	52487	27	52487
16	4912	22	4912
15	4850	13	4850
16	23250	19	23250
16	43292	22	43292
17	37130	15	37130
17	52713	25	52713
15	47399	29	47399
13	18403	28	18403
15	26452	24	26452
15	34395	24	34395
18	58169	24	58169
17	51657	19	51657
16	10819	23	10819
16	5401	17	5401
15	35856	18	35856
14	1688	17	1688
16	28368	31	28368
13	4500	21	4500
15	43135	24	43135
16	50886	24	50886
15	17476	21	17476
14	11423	20	11423
11	1555	11	1555
16	59350	23	59350
17	52437	26	52437
14	5407	17	5407
15	7398	24	7398
17	11887	23	11887
17	51921	22	51921
13	3339	14	3339
13	4374	18	4374
17	33185	30	33185
15	8189	13	8189
17	3975	13	3975
16	52828	26	52828
16	45318	21	45318
17	56688	21	56688
15	40226	27	40226
16	3720	17	3720
15	59491	32	59491
17	50972	27	50972
14	38240	22	38240
16	51147	31	51147
15	38143	32	38143
16	43641	23	43641
14	27002	15	27002
17	39830	23	39830
14	12008	20	12008
14	7854	13	7854
16	22965	19	22965
16	39245	13	39245
9	1681	19	1681
13	10739	17	10739
13	17151	23	17151
16	37382	26	37382
17	39527	23	39527
15	22557	30	22557
16	44780	20	44780
17	51414	19	51414
16	50830	22	50830
15	24470	24	24470
16	32139	25	32139
16	24014	25	24014
15	32658	26	32658
17	12465	17	12465
14	16841	23	16841
16	54327	24	54327
17	45504	31	45504
17	57067	22	57067
17	34398	30	34398
16	44995	9	44995
13	24390	24	24390
13	12638	17	12638
12	12493	20	12493
12	2532	22	2532
16	32630	23	32630
15	15847	25	15847
16	42362	25	42362
18	44637	29	44637
9	52	13	52
11	5326	20	5326
10	233	15	233
15	1732	23	1732
15	16064	19	16064
14	17383	17	17383
15	15466	25	15466
17	31943	22	31943
11	16291	30	16291
